free_course,school,difficulty,skills,description,full_url,nd_url,nd_name
Android Basics: User Interface,School of Programming & Development,beginner,"Android Development, Building Layouts, Android Studio, Views and ViewGroups, Styling",Learn how to design your first layout in Android! This is the first course in the Android Basics Nanodegree program.Learn More,https://www.udacity.com/course/android-basics-user-interface--ud834,https://www.udacity.com/course/android-basics-nanodegree-by-google--nd803,Android Basics
Client-Server Communication,School of Programming & Development,advanced,"HTTP request and response cycle, HTTP headers and verbs, HTTP/1 and HTTP/2 capabilities, HTTPS, Client-Server Communication","Learn how a client communicates with a server, including HTTP's request and response cycle, HTTP/2 and HTTPs.Learn More",https://www.udacity.com/course/client-server-communication--ud897,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
What is Programming?,School of Programming & Development,beginner,"",This course is your first step towards a career in programming.Learn More,https://www.udacity.com/course/what-is-programming--ud994,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Building High Conversion Web Forms,School of Programming & Development,intermediate,"Research HTML5 input types, Datalist input, User input validation with HTML5 attributes, Validate user input using JavaScript, Optimizing forms","Increase conversions with best practices for fast, efficient forms! Learn how to design and build web forms for users on any device.Learn More",https://www.udacity.com/course/building-high-conversion-web-forms--ud890,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,Front End Web Developer
Advanced Android App Development,School of Programming & Development,advanced,"Android Development, Fragments, Libraries, Firebase, Espresso","Make your app production-ready by applying advanced features like library integration, material design, widgets, receiving cloud messages, and more!Learn More",https://www.udacity.com/course/advanced-android-app-development--ud855,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
Software Architecture & Design,School of Programming & Development,intermediate,"Unified Modeling Language, Object Constraint Language, Software Architecture, Software Design, Code Review",Software Architecture and Design teaches the principles and concepts involved in the analysis and design of large software systems.Learn More,https://www.udacity.com/course/software-architecture-design--ud821,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
Intro to Information Security,School of Programming & Development,intermediate,"Software Security, Cryptography, Network Security, Privacy, Public Policy",Learn More,https://www.udacity.com/course/intro-to-information-security--ud459,https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898,Artificial Intelligence
Authentication & Authorization: OAuth,School of Programming & Development,intermediate,"Flask, OAuth 2.0, Authentication & Authorization, Python",Learn to implement the OAuth 2.0 framework to allow users to securely and easily login to your web applications.Learn More,https://www.udacity.com/course/authentication-authorization-oauth--ud330,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Intro to iOS App Development with Swift,School of Programming & Development,intermediate,"Swift, UIKit, AVFoundation",Take the first step in becoming an iOS Developer by learning about Swift and writing your first app.Learn More,https://www.udacity.com/course/intro-to-ios-app-development-with-swift--ud585,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Introduction to Operating Systems,School of Programming & Development,intermediate,"Processes & Threads, Memory Management, Inter-Process Communication, Resource Virtualization, Distributed File Systems","Introduction to Operating Systems teaches the basic operating system abstractions, mechanisms, and their implementations.Learn More",https://www.udacity.com/course/introduction-to-operating-systems--ud923,https://www.udacity.com/course/flying-car-nanodegree--nd787,Flying Car and Autonomous Flight Engineer
Android Basics: Networking,School of Programming & Development,beginner,"Android Development, JSON Parsing, HTTP Networking, Threads and Parallelism, Control Flow and Conditionals, Preferences","This class teaches the basics of networking using Android, and is a part of the Android Basics Nanodegree by Google.Learn More",https://www.udacity.com/course/android-basics-networking--ud843,https://www.udacity.com/course/android-basics-nanodegree-by-google--nd803,Android Basics
Web Accessibility,School of Programming & Development,advanced,"Accessibility, Screen Readers, Focus, Semantics, ARIA","Get hands-on experience making web applications accessible. You’ll understand when and why users need accessibility, then you’ll dive into how to implement.Learn More",https://www.udacity.com/course/web-accessibility--ud891,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,Front End Web Developer
Android Basics: Data Storage,School of Programming & Development,beginner,"Android Development, SQLite, ContentProvider, CursorAdapter & CursorLoader, Database, Design","In this course, you'll learn the basics of data storage in Android, building your first database and an app that could be used for any small business!Learn More",https://www.udacity.com/course/android-basics-data-storage--ud845,https://www.udacity.com/course/android-basics-nanodegree-by-google--nd803,Android Basics
Scalable Microservices with Kubernetes,School of Programming & Development,intermediate,"Microservices, Docker, Kubernetes, Deploying Microservices","This course is designed to teach you about managing microservices, using Kubernetes. This course is built in partnership with experts such as Google’s Kelsey Hightower.Learn More",https://www.udacity.com/course/scalable-microservices-with-kubernetes--ud615,https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t,Machine Learning Engineer
Developing Android Apps with Kotlin,School of Programming & Development,intermediate,Android Development,Learn the fundamentals of the Kotlin programming language from Kotlin experts at Google.Learn More,https://www.udacity.com/course/developing-android-apps-with-kotlin--ud9012,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
Browser Rendering Optimization,School of Programming & Development,advanced,"Browser Rendering Response, Animation, Idle and Load (RAIL), Optimizing JavaScript, How to debug an app",This course will demystify the browser's rendering pipeline and make it easy for you to build high performance web apps.Learn More,https://www.udacity.com/course/browser-rendering-optimization--ud860,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Learn Swift Programming Syntax,School of Programming & Development,intermediate,"Variables and Constants, Control Flow, Functions, Optionals, OOP","This course focuses on the syntax of the Swift programming language. By the end of the course, you'll be able to apply Swift essentials to building iOS apps.Learn More",https://www.udacity.com/course/learn-swift-programming-syntax--ud902,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Offline Web Applications,School of Programming & Development,intermediate,"Developing offline-first applications, Understanding Lie-Fi, Service Worker DevTools, IndexedDB, IndexedDB asset caching",Learn how to develop offline-first web application using Service Workers and IndexedDB.Learn More,https://www.udacity.com/course/offline-web-applications--ud899,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Kotlin for Android Developers,School of Programming & Development,advanced,"Kotlin, Android","Take an Android app in Java and convert it to Kotlin, learning key features of the Kotlin programming language along the way.Learn More",https://www.udacity.com/course/kotlin-for-android-developers--ud888,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
UX Design for Mobile Developers,School of Programming & Development,beginner,"Android, UX Design, User-Centered Design",This is a design course made for developers. You'll learn UX design skills which will help you make 5-star mobile apps that your users will love.Learn More,https://www.udacity.com/course/ux-design-for-mobile-developers--ud849,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
Software Development Process,School of Programming & Development,intermediate,"Software Development Life Cycle, Requirements Engineering, Design Patterns, Black-Box & White-Box Testing, Agile Development Methodology","Software Development Processes explores requirements engineering, architecture and design, testing, and software quality in general.Learn More",https://www.udacity.com/course/software-development-process--ud805,https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd0044,Full Stack Web Developer
Data Visualization in Tableau,School of Programming & Development,beginner,"Tableau, Design of Visualizations, Visual Encodings",Learn the fundamentals of data visualization and practice communicating with data.Learn More,https://www.udacity.com/course/data-visualization-in-tableau--ud1006,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Intro to Progressive Web Apps,School of Programming & Development,intermediate,"Progressive Web Apps, Service Workers, Web App Manifest, Offline apps",In this course you’ll get started working on your very first Progressive Web App (PWA) - a web app that can take advantage of many features native applications have enjoyed!Learn More,https://www.udacity.com/course/intro-to-progressive-web-apps--ud811,https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd0044,Full Stack Web Developer
Writing READMEs,School of Programming & Development,beginner,"README, Markdown, Making code easier to read",Documentation is an important part of the development process. Learn to write READMEs using Markdown so your code can be used by other humans!Learn More,https://www.udacity.com/course/writing-readmes--ud777,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,Front End Web Developer
Software Analysis & Testing,School of Programming & Development,intermediate,"Software Testing, Debugging, Dataflow Analysis, Constraint-based Analysis, Symbolic Execution","This course covers the theory and practice of software analysis, which is at the heart of software development processes such as diagnosing bugs, testing, and debugging.Learn More",https://www.udacity.com/course/software-analysis-testing--ud333,https://www.udacity.com/course/data-analyst-nanodegree--nd002,Data Analyst
iOS Persistence and Core Data,School of Programming & Development,advanced,"Data Persistence, Core Data, UserDefaults, FileManager","Persisting data is a core skill for any iOS developer. Learn how to store app data to your device using three common techniques: NSUserDefaults, Sandbox, and Core Data.Learn More",https://www.udacity.com/course/ios-persistence-and-core-data--ud325,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Computer Networking,School of Programming & Development,intermediate,"Software-Defined Networking, Data Center Networking, Content Distribution, Congestion Control, Traffic Shaping",This is an advanced Computer Networking course that delves into the latest concepts and tools used by the CN industry.Learn More,https://www.udacity.com/course/computer-networking--ud436,https://www.udacity.com/course/flying-car-nanodegree--nd787,Flying Car and Autonomous Flight Engineer
Firebase Analytics: iOS,School of Programming & Development,intermediate,"Android Development, Firebase Analytics, Firebase Crash Reporting, Firebase Remote Config, Firebase Dynamic Links","Learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solutionLearn More",https://www.udacity.com/course/firebase-analytics-ios--ud353,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Human-Computer Interaction,School of Programming & Development,intermediate,"Design Principles, Direct Manipulation Interfaces, Mental Models, Distributed Cognition, Prototyping","This course is an introductory course on human-computer interaction, covering the principles, techniques, and open areas of development in HCI.Learn More",https://www.udacity.com/course/human-computer-interaction--ud400,https://www.udacity.com/course/data-analyst-nanodegree--nd002,Data Analyst
2D Game Development with libGDX,School of Programming & Development,intermediate,"LibGDX, Game Development, 2D","This course explores how to use LibGDX to build 2D games that run anywhere, from web browsers to mobile devices. At the end you will create a full game, called Icicles.Learn More",https://www.udacity.com/course/2d-game-development-with-libgdx--ud405,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
Intro to jQuery,School of Programming & Development,intermediate,"jQuery, DOM Structure, Reading jQuery documentation, Modify HTML attributes and content",Learn how to access and modify the DOM with ease using jQuery!Learn More,https://www.udacity.com/course/intro-to-jquery--ud245,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Cyber-Physical Systems Security,School of Programming & Development,intermediate,"Industrial Networks, Industrial Control Systems, Smart Grid Infrastructure, Cyber Security, Privacy",This course provides an introduction to security issues relating to cyber-physical systems including industrial control systems and critical infrastructures.Learn More,https://www.udacity.com/course/cyber-physical-systems-security--ud279,https://www.udacity.com/course/flying-car-nanodegree--nd787,Flying Car and Autonomous Flight Engineer
Introduction to Graduate Algorithms,School of Programming & Development,advanced,Georgia Institute of Technology,Learn advanced techniques for designing algorithms and apply them to hard computational problems.Learn More,https://www.udacity.com/course/introduction-to-graduate-algorithms--ud401,https://www.udacity.com/course/ios-developer-nanodegree--nd003,iOS Developer
Dynamic Web Applications with Sinatra,School of Programming & Development,intermediate,"Ruby, Sinatra, Building web applications","Sinatra is a micro-framework for quickly developing small Ruby applications for the web. In this course, you'll learn all about Sinatra, routing, and templating.Learn More",https://www.udacity.com/course/dynamic-web-applications-with-sinatra--ud268,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
How to Make a Platformer Using libGDX,School of Programming & Development,intermediate,"LibGDX, Game Development, Asset management","This course will explore how to create a game called Giga Gal. Giga Gal is a platformer in which you run, collect energy packs, jump a bunch, and shoot enemies.Learn More",https://www.udacity.com/course/how-to-make-a-platformer-using-libgdx--ud406,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
JavaScript Testing,School of Programming & Development,intermediate,"Javascript Apps, Jasmine testing framework, red-green-refactor workflow",Learn how to iterate on your web applications with confidence using the red-green-refactor workflow cycle and automated testing frameworks.Learn More,https://www.udacity.com/course/javascript-testing--ud549,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Object-Oriented JavaScript,School of Programming & Development,intermediate,"Object Oriented Javascript, Object-oriented programming, Data and functionality, Prototypal inheritance",Learn More,https://www.udacity.com/course/object-oriented-javascript--ud711,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,Front End Web Developer
Localization Essentials,School of Programming & Development,beginner,"Localization, Google Translator Toolkit, Localization at Google","Localization is about making a product feel tailored to users around the world. Specifically, it is the process of adapting a product to a language, culture and market.Learn More",https://www.udacity.com/course/localization-essentials--ud610,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Compilers: Theory and Practice,School of Programming & Development,intermediate,"Compilers, Semantic Analysis, Syntax Directed Translation, Control Flow Analysis",This course teaches the theory and practice behind building compilers for higher level programming languages.Learn More,https://www.udacity.com/course/compilers-theory-and-practice--ud168,https://www.udacity.com/course/flying-car-nanodegree--nd787,Flying Car and Autonomous Flight Engineer
HTML5 Canvas,School of Programming & Development,beginner,"HTML5 Canvas, Canvas2D, Creating animation",Learn how you can use HTML5 Canvas to create and modify images or even interactive animations.Learn More,https://www.udacity.com/course/html5-canvas--ud292,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Object Oriented Programming in Java,School of Programming & Development,intermediate,"Object Oriented Programming, Java, User Interaction",Learn how to apply powerful object-oriented programming concepts in JavaLearn More,https://www.udacity.com/course/object-oriented-programming-in-java--ud283,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
Designing RESTful APIs,School of Programming & Development,intermediate,"Flask, REST APIs, Python",Build and secure a web server with a RESTful Developer-Friendly API that developers will love to use.Learn More,https://www.udacity.com/course/designing-restful-apis--ud388,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
GT - Refresher - Advanced OS,School of Programming & Development,intermediate,"Operating Systems, Virtual Memory, File Systems, Multithreaded Programming, Networking","This course covers the essential Operating Systems concepts students need in preparation for the rest of the GT """"Advanced Operating Systems"""" sequence.Learn More",https://www.udacity.com/course/gt-refresher-advanced-os--ud098,https://www.udacity.com/course/c-plus-plus-nanodegree--nd213,C++
Intro to JavaScript,School of Programming & Development,beginner,"JavaScript, Conditionals, Loops, Data Types & Variables","Learn the fundamentals of JavaScript, the most popular programming language in web development.Learn More",https://www.udacity.com/course/intro-to-javascript--ud803,https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd0044,Full Stack Web Developer
Grand Central Dispatch (GCD),School of Programming & Development,intermediate,"Closures, GCD",Learn how to prevent background operations from interfering with an app's UI by implementing Apple's GCD framework.Learn More,https://www.udacity.com/course/grand-central-dispatch-gcd--ud576,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Swift for Beginners,School of Programming & Development,beginner,"Variables and Constants, Strings, Control Flow, Functions","Learn Swift, Apple's programming language for building iOS applications. Start with the basics and work your way towards completing sets of challenges in Swift.Learn More",https://www.udacity.com/course/swift-for-beginners--ud1022,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Intro to Statistics,School of Programming & Development,beginner,"Probability, Descriptive Statistics, Inferential Statistics","Get ready to analyze, visualize, and interpret data! Thought-provoking examples and chances to combine statistics and programming will keep you engaged and challenged.Learn More",https://www.udacity.com/course/intro-to-statistics--st101,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Intro to HTML and CSS,School of Programming & Development,beginner,"HTML, CSS, CSS Syntax, HTML Syntax Problem Set","In this course, you'll learn the fundamentals web development, along with best practices and professional problem-solving techniques using Developer Tools.Learn More",https://www.udacity.com/course/intro-to-html-and-css--ud001,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,Front End Web Developer
Developing Android Apps,School of Programming & Development,intermediate,"Android Development, Layouts, Intents, UI","Build a cloud-connected Android app, and learn the tools, principles, and best practices of mobile and Android development that you'll apply to your own projects.Learn More",https://www.udacity.com/course/new-android-fundamentals--ud851,https://www.udacity.com/course/android-basics-nanodegree-by-google--nd803,Android Basics
Introduction to Python Programming,School of Programming & Development,beginner,"","In this course, you'll learn the fundamentals of the Python programming language, along with programming best practices. You’ll learn to represent and store data using Python data types and variables, and use conditionals and loops to control the flow of your programs. You’ll harness the power of complex data structures like lists, sets, dictionaries, and tuples to store collections of related data. You’ll define and document your own custom functions, write scripts, and handle errors. Lastly, you’ll learn to find and use modules in the Python Standard Library and other third-party libraries.Learn More",https://www.udacity.com/course/introduction-to-python--ud1110,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Introduction to Virtual Reality,School of Programming & Development,beginner,"VR development, Unity, Google VR SDK for Unity, General understanding of how VR works, Deploying to Android and iOS","If you are interested in learning more about virtual reality, this course will teach you the principles of VR technology and help you understand what you can build in VR.Learn More",https://www.udacity.com/course/introduction-to-virtual-reality--ud1012,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Objective-C for Swift Developers,School of Programming & Development,intermediate,"iOS, Swift, Objective-C, Control Flow Syntax","Learn the distinguishing language features of Objective-C. Practice Objective-C syntax by writing classes, and writing and calling methods.Learn More",https://www.udacity.com/course/objective-c-for-swift-developers--ud1009,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Software Testing,School of Programming & Development,intermediate,"Software Testing, Debugging, Code Coverage",Learn how to catch bugs and break software as you discover different testing methods that will help you build better software.Learn More,https://www.udacity.com/course/software-testing--cs258,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Interactive 3D Graphics,School of Programming & Development,intermediate,"Animated 3D Demo Program, Computer Image Generation, Programming Vertex and Pixel Shaders","This course will teach you the principles of 3D computer graphics: meshes, transforms, lighting, animation, and making interactive 3D applications run in a browser.Learn More",https://www.udacity.com/course/interactive-3d-graphics--cs291,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Full Stack Foundations,School of Programming & Development,intermediate,"Flask, CRUD, Model-View-Controller, Python, Object-relational Mapping",Learn the fundamentals of back-end web development by creating your own web application from the ground up using the iterative development process.Learn More,https://www.udacity.com/course/full-stack-foundations--ud088,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
High Performance Computer Architecture,School of Programming & Development,advanced,"Processor Pipelining, Branch Prediction, Instruction Scheduling, Memory Ordering, Multiprocessor Architectures","The HPCA course covers performance measurement, pipelining, and improved parallelism through various means.Learn More",https://www.udacity.com/course/high-performance-computer-architecture--ud007,https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991,Cloud DevOps Engineer
AutoLayout,School of Programming & Development,intermediate,"Design, UI, Stack Views, Constraints","With this course, you will learn about AutoLayout and how to use stack views and constraints to create pixel-perfect UIs.Learn More",https://www.udacity.com/course/auto-layout--ud1026,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Kotlin Bootcamp for Programmers,School of Programming & Development,intermediate,Android Development,Learn the fundamentals of the Kotlin programming language from Kotlin experts at Google.Learn More,https://www.udacity.com/course/kotlin-bootcamp-for-programmers--ud9011,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
Shell Workshop,School of Programming & Development,"","",Learn More,https://www.udacity.com/course/shell-workshop--ud206,https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd0044,Full Stack Web Developer
Core ML: Machine Learning for iOS,School of Programming & Development,intermediate,"iOS, Image Classification, Core ML",Learn how to use Apple's Core ML framework to build iOS apps with intelligent new features.Learn More,https://www.udacity.com/course/core-ml--ud1038,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Statistics,School of Programming & Development,beginner,"Statistical Research Methods, Data Visualization, Distributions, Hypothesis Testing, Regression",We live in a time of unprecedented access to information. You'll learn how to use statistics to interpret that information and make decisions.Learn More,https://www.udacity.com/course/statistics--st095,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Intro to Theoretical Computer Science,School of Programming & Development,intermediate,"theoretical computer science, NP-completeness, Recognizing algorithmic problems, Solving algorithmic problems",Learn the basic concepts in theoretical computer science. Discover what they imply for solving tough computational challenges.Learn More,https://www.udacity.com/course/intro-to-theoretical-computer-science--cs313,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Design of Computer Programs,School of Programming & Development,advanced,"Computer Program Design, Python, Design Process","Learn how to model problems, and how to optimize performance by using some of the advanced features of Python.Learn More",https://www.udacity.com/course/design-of-computer-programs--cs212,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Data Wrangling with MongoDB,School of Programming & Development,intermediate,"Gathering Data, Assessing Data, Cleaning Data, Data Wrangling, MongoDB","Data Scientists spend most of their time cleaning data. In this course, you will learn to convert and manipulate messy data to extract what you need.Learn More",https://www.udacity.com/course/data-wrangling-with-mongodb--ud032,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Swift for Developers,School of Programming & Development,beginner,"Variables and Constants, Strings, Control Flow, Functions",Get a quick practical introduction to Swift programming basics and build your first iOS app!Learn More,https://www.udacity.com/course/swift-for-developers--ud1025,https://www.udacity.com/course/ios-developer-nanodegree--nd003,iOS Developer
Firebase in a Weekend: Android,School of Programming & Development,intermediate,Android Development,This course will teach you when and why to choose Firebase as a backend for your Android application.Learn More,https://www.udacity.com/course/firebase-in-a-weekend-by-google-android--ud0352,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
