nd_course,nd_course_desc,nd_course_first_proj,nd_url,nd_name,school,difficulty
Data Engineering for Data Scientists,"Learn to work with data through the entire data science process, from running pipelines, transforming data, building models, and deploying solutions to the cloud.",Build Disaster Response Pipelines with Figure Eight,https://www.udacity.com/course/data-scientist-nanodegree--nd025,Data Scientist,School of Data Science,advanced
Experiment Design and Recommendations,Learn to design experiments and analyze A/B test results. Explore approaches for building recommendation systems.,Design a Recommendation Engine with IBM,https://www.udacity.com/course/data-scientist-nanodegree--nd025,Data Scientist,School of Data Science,advanced
Data Science Projects,Leverage what you’ve learned throughout the program to build your own open-ended Data Science project. This project will serve as a demonstration of your valuable abilities as a Data Scientist.,Data Science Capstone Project,https://www.udacity.com/course/data-scientist-nanodegree--nd025,Data Scientist,School of Data Science,advanced
Intro to HTML,"It begins! Get oriented, learn the basics of HTML, and write your first line of code!",,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming,School of Programming & Development,beginner
Intro to CSS,Add style to your HTML code with CSS (Cascading Style Sheets). Experiment with adjusting various style rules in CSS to make your website shine. Achieve the look and presentation you want for your own webpage.,Animal Trading Cards,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming,School of Programming & Development,beginner
Intro to Python,"Explore fundamental programming concepts in Python like logic checks, data structures, and functions through interactive quizzes and practice on your own computer. Learn syntax, debugging techniques and basic problem-solving concepts.",Adventure Game,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming,School of Programming & Development,beginner
Intro to JavaScript,"Learn the fundamentals of web programming using JavaScript, the ubiquitous language for creating dynamic web applications.",Pixel Art Maker,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming,School of Programming & Development,beginner
Welcome to the Program,"Meet your instructors and learn how to optimize your classroom. Learn how people use data to answer questions, and find your own insights from a data dashboard.",Interpret a Data Visualization,https://www.udacity.com/course/business-analytics-nanodegree--nd098,Business Analytics,School of Business,beginner
Introduction to Data,"Learn how to use statistics and visuals to find and communicate insights. Develop Excel skills to manipulate, analyze, and visualize data in a spreadsheet. Build Excel models to analyze possible business outcomes.",Analyze NYSE Data,https://www.udacity.com/course/business-analytics-nanodegree--nd098,Business Analytics,School of Business,beginner
SQL for Data Analysis,Learn to use Structured Query Language (SQL) to extract and analyze data stored in databases.,Query a Digital Music Store Database,https://www.udacity.com/course/business-analytics-nanodegree--nd098,Business Analytics,School of Business,beginner
Data Visualization,"Learn to apply design and visualization principles to create impactful data visualizations, build data dashboards, and tell stories with data.",Build Data Dashboards,https://www.udacity.com/course/business-analytics-nanodegree--nd098,Business Analytics,School of Business,beginner
Product Strategy,"The most effective products start with a comprehensive market-based, insight-driven strategy. Identify the right problems to solve through market research, target user definition, and market sizing. Create a compelling vision and strategy that will set up the team to solve those problems. Understand how to communicate effectively to get people excited and invested in your ideas.",Pitch a Product Vision,https://www.udacity.com/course/product-manager-nanodegree--nd036,Product Manager,School of Business,beginner
Product Design,"Take an idea through concept, design, and user validation phases, and create a spec to handoff to Engineering for development. Use design-thinking methodologies to explore various ideas, and then converge on a single idea. Map out the full concept through creation of a prototype that can be used to validate that you’re solving a problem for real users.",Run a Design Sprint,https://www.udacity.com/course/product-manager-nanodegree--nd036,Product Manager,School of Business,beginner
Product Development,"Learn the critical soft skills needed to manage the development and execution phase of the product. Collaborate with cross-functional teams and stakeholders to guide them through planning and execution. Manage stakeholder expectations and handle risks that arise, reprioritizing feature and sprint priorities to tackle competing requests.",Manage the Product Development Process,https://www.udacity.com/course/product-manager-nanodegree--nd036,Product Manager,School of Business,beginner
Product Launch,"Create a plan, identify the launch risks, and figure out how to minimize their impact on your launch. Collaborate with a variety of teams including Marketing, Sales, Customer Support, and more to prepare them to interface with customers as the product is launched. Execute the launch and use feedback from your customers to determine the next steps for your product.",Deliver a Product to Market,https://www.udacity.com/course/product-manager-nanodegree--nd036,Product Manager,School of Business,beginner
Marketing Fundamentals,"In this course, we give you a framework to help you organize and plan your marketing approach. We also introduce you to three companies that are featured throughout the Digital Marketing Nanodegree program as examples of how to apply what you learn in both B2C and B2B contexts.",Prepare to Market,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,Digital Marketing,School of Business,beginner
Content Strategy,"Content is at the core of all marketing activity.  In this course you learn how to plan your content marketing, how to develop content that works well for your target audience, and how to measure its impact.",,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,Digital Marketing,School of Business,beginner
Social Media Marketing,"Social media is a powerful channel for marketers.  In this course, you learn more about the main social media platforms, how to manage your social media presence, and how to create effective content for each platform.",Market your Content,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,Digital Marketing,School of Business,beginner
Social Media Advertising,"Cutting through the noise in social media can be challenging, and often, marketers must use paid social media marketing strategies to amplify their message. In this course, you learn about the opportunities for targeted advertising in social media and how to execute advertising campaigns that resonate with your audience.",Evaluate a Facebook Campaign,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,Digital Marketing,School of Business,beginner
Search Engine Optimization (SEO),"Search engines are an essential part of the online experience. Learn how to optimize your search engine presence through on-site and off-site activities, including how to develop your target keyword list, optimize your website UX and design, and execute a link-building campaign.",Search Engine Optimization (SEO) Audit,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,Digital Marketing,School of Business,beginner
Search Engine Marketing with Google Ads,"Optimizing visibility in search engine results is an essential part of digital marketing. Reinforcing findability through Search Engine Marketing (SEM) is an effective tactic to achieve your marketing objectives.  In this course, you learn how to create, execute, and optimize an effective ad campaign using Google Ads.",Evaluate a Google Ads Campaign,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,Digital Marketing,School of Business,beginner
Display Advertising,"Display advertising is a powerful marketing tool, strengthened by new platforms like mobile, new video opportunities, and enhanced targeting.  In this course, you learn how display advertising works, how it is bought and sold (including in a programmatic environment), and how to set up a display advertising campaign using Google Ads.",Evaluate a Display Advertising Campaign,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,Digital Marketing,School of Business,beginner
Email Marketing,"Email is an effective marketing channel, especially at the conversion and retention stage of the customer journey.  In this course, you learn how to create an email marketing strategy, create and execute email campaigns, and measure the results.",Market with Email,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,Digital Marketing,School of Business,beginner
Measure and Optimize with Google Analytics,"Actions online can be tracked, and so can the effect of your digital marketing efforts. In this course, you learn how to use Google Analytics to evaluate your audience, measure the success of your acquisition and engagement efforts, evaluate your user’s conversions to your goals, and use those insights to plan and optimize your marketing budgets.",Create your Digital Marketing Portfolio,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,Digital Marketing,School of Business,beginner
Basic Quantitative Trading,Learn about market mechanics and how to generate signals with stock data. Work on developing a momentum-trading strategy in your first project.,Trading with momentum,https://www.udacity.com/course/ai-for-trading--nd880,Artificial Intelligence for Trading,School of Artificial Intelligence,intermediate
Advanced Quantitative Trading,"Learn the quant workflow for signal generation, and apply advanced quantitative methods commonly used in trading.",Breakout Strategy,https://www.udacity.com/course/ai-for-trading--nd880,Artificial Intelligence for Trading,School of Artificial Intelligence,intermediate
"Stocks, Indices, and ETFs","Learn about portfolio optimization, and financial securities formed by stocks, including market indices, vanilla ETFs, and Smart Beta ETFs.",Smart Beta and Portfolio Optimization,https://www.udacity.com/course/ai-for-trading--nd880,Artificial Intelligence for Trading,School of Artificial Intelligence,intermediate
Factor Investing and Alpha Research,"Learn about alpha and risk factors, and construct a portfolio with advanced optimization techniques.",Alpha Research and Factor Modeling,https://www.udacity.com/course/ai-for-trading--nd880,Artificial Intelligence for Trading,School of Artificial Intelligence,intermediate
Sentiment Analysis with Natural Language Processing,"Learn the fundamentals of text processing, and analyze corporate filings to generate sentiment-based trading signals.",Sentiment Analysis using NLP,https://www.udacity.com/course/ai-for-trading--nd880,Artificial Intelligence for Trading,School of Artificial Intelligence,intermediate
Advanced Natural Language Processing with Deep Learning,Learn to apply deep learning in quantitative analysis and use recurrent neural networks and long short-term memory to generate trading signals.,Deep Neural Network with News Data,https://www.udacity.com/course/ai-for-trading--nd880,Artificial Intelligence for Trading,School of Artificial Intelligence,intermediate
Combining Multiple Signals,Learn advanced techniques to select and combine the factors you’ve generated from both traditional and alternative data.,Combine Signals for Enhanced Alpha,https://www.udacity.com/course/ai-for-trading--nd880,Artificial Intelligence for Trading,School of Artificial Intelligence,intermediate
Simulating Trades with Historical Data,Learn to refine trading signals by running rigorous back tests. Track your P&L while your algorithm buys and sells.,Backtesting,https://www.udacity.com/course/ai-for-trading--nd880,Artificial Intelligence for Trading,School of Artificial Intelligence,intermediate
UX Fundamentals & Design Research,"Product design starts with understanding the needs of users, which is gathered through comprehensive research. Learn the core principles of human-centered design and how to appropriately scope a design problem. Understand how to empathize with users when performing user research, including how to conduct in-depth interviews and create quantitative surveys, and use research data to uncover opportunities. You’ll then apply psychology to design sketches, keeping the end-user in mind.",Formulate a Research Report,https://www.udacity.com/course/ux-designer-nanodegree--nd578,UX Designer,School of Business,beginner
Concept to Low-Fidelity Prototyping,"The best products have gone through rounds of iteration based on user research and feedback. Learn the process of a design sprint, and how to translate findings from research into a prototype that can be tested with users. Understand how to foster team collaboration and use divergent and convergent thinking to rapidly create testable prototypes. Apply user interface principles in the design of a clickable prototype, and conduct a usability test to gain valuable feedback from users that can be used in design iterations.",Develop a Validated Low-Fidelity Prototype,https://www.udacity.com/course/ux-designer-nanodegree--nd578,UX Designer,School of Business,beginner
High-Fidelity Prototyping to Post-Launch Analysis,"Once products have been tested for its effectiveness, they need to be enhanced for engagement. Learn advanced user interface principles to build interactive designs that are ready to be handed off to engineering for feedback. Understand how to solicit and integrate feedback from engineering to enhance the design before it is ready for development. Assess the engagement of the product through remote usability testing and other experimentation methods. Finally, you’ll learn how to improve design and user experiences based on engagement data in order to increase key performance indicators.",Create and Improve a High-Fidelity Design,https://www.udacity.com/course/ux-designer-nanodegree--nd578,UX Designer,School of Business,beginner
CAPSTONE - UX Portfolio Design,"UX Designers demonstrate their skills by showcasing their designs and processes in a portfolio. Understand what should and shouldn’t be included in a portfolio, as well as the key components that appeal to target audiences. Learn how to organize previous work and communicate it online, keeping the audience and your career objectives in mind. Apply storytelling and branding frameworks to create a personal profile that conveys a unique value proposition. You’ll also learn best practices for maintaining and updating a UX portfolio.",Build a UX Portfolio Case Study,https://www.udacity.com/course/ux-designer-nanodegree--nd578,UX Designer,School of Business,beginner
CSS & Website Layout,"Learn how to effectively create the structure of a website using semantic HTML, and style websites with CSS and responsive layouts. Develop an understanding of different use cases for CSS Grid and Flexbox, and structure the layout of a web page using grid columns and rows.",Styled Blog Website,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,Front End Web Developer,School of Programming & Development,intermediate
JavaScript and the DOM,"Use JavaScript to control a webpage. Learn what the Document Object Model (DOM) is, and use JavaScript and the DOM to dictate page content and interactions. Gain experience working with Browser Events and managing website performance by controlling content creation efficiently.",Dynamic Landing Page for Marketing Content,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,Front End Web Developer,School of Programming & Development,intermediate
Web APIs and Asynchronous Applications,"Set up a Node and Express environment so you can develop web applications on your local machine, and learn to handle HTTP Requests & Routes. Update and modify website elements dynamically using asynchronously retrieved data.",Weather Journal,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,Front End Web Developer,School of Programming & Development,intermediate
"Build Tools, Webpack, and Service Worker","Develop an understanding of how to use build tools, such as Webpack, for automating build tasks. Create CSS variables with Sass and configure Webpack to use Sass controlled stylesheets. Learn how to cache server data and website functionality using Service Worker.",Article Analysis Website,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,Front End Web Developer,School of Programming & Development,intermediate
Introduction to Python,"Start coding with Python, drawing upon libraries and automation scripts to solve complex problems quickly.",Use a Pre-trained Image Classifier to Identify Dog Breeds,https://www.udacity.com/course/ai-programming-python-nanodegree--nd089,AI Programming with Python,School of Artificial Intelligence,beginner
"Jupyter Notebooks, NumPy, Anaconda, pandas, and Matplotlib","Learn how to use all the key tools for working with data in Python: Jupyter Notebooks, NumPy, Anaconda, pandas, and Matplotlib.",,https://www.udacity.com/course/ai-programming-python-nanodegree--nd089,AI Programming with Python,School of Artificial Intelligence,beginner
Linear Algebra Essentials,"Learn the foundational linear algebra you need for AI success: vectors, linear transformations, and matrices—as well as the linear algebra behind neural networks.",,https://www.udacity.com/course/ai-programming-python-nanodegree--nd089,AI Programming with Python,School of Artificial Intelligence,beginner
Calculus Essentials,"Learn the foundations of calculus to understand how to train a neural network: plotting, derivatives, the chain rule, and more. See how these mathematical skills visually come to life with a neural network example.",,https://www.udacity.com/course/ai-programming-python-nanodegree--nd089,AI Programming with Python,School of Artificial Intelligence,beginner
Neural Networks,"Gain a solid foundation in the hottest fields in AI: neural networks, deep learning, and PyTorch.",Create Your Own Image Classifier,https://www.udacity.com/course/ai-programming-python-nanodegree--nd089,AI Programming with Python,School of Artificial Intelligence,beginner
Software Engineering Fundamentals,"In this lesson, you’ll write production-level code and practice object-oriented programming, which you can integrate into machine learning projects.",Build a Python Package,https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t,Machine Learning Engineer,School of Artificial Intelligence,intermediate
Machine Learning in Production,Learn how to deploy machine learning models to a production environment using Amazon SageMaker.,Deploy a Sentiment Analysis Model,https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t,Machine Learning Engineer,School of Artificial Intelligence,intermediate
Machine Learning Case Studies,Apply machine learning techniques to solve real-world tasks; explore data and deploy both built-in and custom-made Amazon SageMaker models.,Plagiarism Detector,https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t,Machine Learning Engineer,School of Artificial Intelligence,intermediate
Machine Learning Capstone,"In this capstone lesson, you’ll select a machine learning challenge and propose a possible solution.",Capstone Proposal and Project,https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t,Machine Learning Engineer,School of Artificial Intelligence,intermediate
Introduction,"Get your first taste of deep learning by applying style transfer to your own images, and gain experience using development tools such as Anaconda and Jupyter notebooks.",,https://www.udacity.com/course/deep-learning-nanodegree--nd101,Deep Learning,School of Artificial Intelligence,intermediate
Neural Networks,"Learn neural networks basics, and build your first network with Python and NumPy. Use the modern deep learning framework PyTorch to build multi-layer neural networks, and analyze real data.",Predicting Bike-Sharing Patterns,https://www.udacity.com/course/deep-learning-nanodegree--nd101,Deep Learning,School of Artificial Intelligence,intermediate
Convolutional Neural Networks,"Learn how to build convolutional networks and use them to classify images (faces, melanomas, etc.) based on patterns and objects that appear in them. Use these networks to learn data compression and image denoising.",Dog-Breed Classifier,https://www.udacity.com/course/deep-learning-nanodegree--nd101,Deep Learning,School of Artificial Intelligence,intermediate
Recurrent Neural Networks,Build your own recurrent networks and long short-term memory networks with PyTorch; perform sentiment analysis and use recurrent networks to generate new text from TV scripts.,Generate TV scripts,https://www.udacity.com/course/deep-learning-nanodegree--nd101,Deep Learning,School of Artificial Intelligence,intermediate
Generative Adversarial Networks,"Learn to understand and implement a Deep Convolutional GAN (generative adversarial network) to generate realistic images, with Ian Goodfellow, the inventor of GANs, and Jun-Yan Zhu, the creator of CycleGANs.",Generate Faces,https://www.udacity.com/course/deep-learning-nanodegree--nd101,Deep Learning,School of Artificial Intelligence,intermediate
Deploying a Sentiment Analysis Model,"Train and deploy your own PyTorch sentiment analysis model. Deployment gives you the ability to use a trained model to analyze new, user input. Build a model, deploy it, and create a gateway for accessing it from a website.",Deploying a Sentiment Analysis Model,https://www.udacity.com/course/deep-learning-nanodegree--nd101,Deep Learning,School of Artificial Intelligence,intermediate
C++ Foundations,"Learn how to develop, compile, and execute C++ programs as well as syntax, functions, containers, and how to link together multiple files.",Route Planner,https://www.udacity.com/course/c-plus-plus-nanodegree--nd213,C++,School of Autonomous Systems,intermediate
Object-Oriented Programming (OOP),"Learn to build classes, interfaces, and generic templates to create an object-oriented C++ program. Learn how modern C++ includes many tools for writing clean, reusable code.",Process Monitor,https://www.udacity.com/course/c-plus-plus-nanodegree--nd213,C++,School of Autonomous Systems,intermediate
Memory Management,"Learn to control static and dynamic memory in C++ using the Resource Acquisition Is Initialization pattern, pointers, references, and move semantics.",Memory Management Chatbot,https://www.udacity.com/course/c-plus-plus-nanodegree--nd213,C++,School of Autonomous Systems,intermediate
Concurrency,"C++ supports running multiple execution paths in parallel. Learn how to launch process and threads in order to execute logic in parallel. Then advance to thread synchronization and communication, to experience the full power of concurrent programming.",Concurrent Traffic Simulation,https://www.udacity.com/course/c-plus-plus-nanodegree--nd213,C++,School of Autonomous Systems,intermediate
Capstone Project,"In your Capstone Project, you will put all of your new C++ skills to use! Utilize the core concepts from this Nanodegree program - object-oriented programming, memory management, and concurrency - to build your own application using C++.",Capstone Project: Build Your Own C++ Application,https://www.udacity.com/course/c-plus-plus-nanodegree--nd213,C++,School of Autonomous Systems,intermediate
SQL and Data Modeling for the Web,"Master relational databases with the power of SQL, and leverage Python to incorporate database logic into your programs.",Design a Venue Booking Database,https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd0044,Full Stack Web Developer,School of Programming & Development,intermediate
API Development and Documentation,"Learn how to use APIs to control and manage web applications, including best practices for API testing and documentation.",Trivia API,https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd0044,Full Stack Web Developer,School of Programming & Development,intermediate
Identity Access Management,"Implement authentication and authorization in Flask and understand how to design against key security principle. You will also gain experience with role-based control design patterns, securing a REST API, and applying software system risk and compliance principles.",Coffee Shop Full Stack,https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd0044,Full Stack Web Developer,School of Programming & Development,intermediate
Server Deployment and Containerization,"Develop an understanding of containerized environments, use Docker to share and store containers, and deploy a Docker container to a Kubernetes cluster using AWS",Deploy a Flask App to Kubernetes Using EKS,https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd0044,Full Stack Web Developer,School of Programming & Development,intermediate
Introduction,Learn about how self-driving cars work and about the services available to you as part of the Nanodegree program.,,https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd013,Self Driving Car Engineer,School of Autonomous Systems,advanced
Computer Vision,Use a combination of cameras and software to find lane lines on difficult roads and to track vehicles.,Finding Lane Lines on the Road,https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd013,Self Driving Car Engineer,School of Autonomous Systems,advanced
Deep Learning,"Deep learning has become the most important frontier in both machine learning and autonomous vehicle development. Experts from NVIDIA will teach you to build deep neural networks and train them with data from the real world and from the Udacity simulator. You’ll train convolutional neural networks to classify traffic signs, and then train a neural network to drive a vehicle in the simulator!",Traffic Sign Classifier,https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd013,Self Driving Car Engineer,School of Autonomous Systems,advanced
Sensor Fusion,"Tracking objects over time is a major challenge for understanding the environment surrounding a vehicle. Sensor fusion engineers from Mercedes-Benz will show you how to program fundamental mathematical tools called Kalman filters. These filters predict and determine with certainty the location of other vehicles on the road. You’ll even learn to do this with difficult-to-follow objects by using an extended Kalman filter, an advanced technique.",Extended Kalman Filters,https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd013,Self Driving Car Engineer,School of Autonomous Systems,advanced
Localization,"Localization is how we determine where our vehicle is in the world. GPS is only accurate to within a few meters. We need single-digit centimeter-level accuracy! To achieve this, Mercedes-Benz engineers will demonstrate the principles of Markov localization to program a particle filter, which uses data and a map to determine the precise location of a vehicle.",Kidnapped Vehicle,https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd013,Self Driving Car Engineer,School of Autonomous Systems,advanced
Planning,"The Mercedes-Benz team will take you through the three stages of planning. First, you’ll apply model-driven and data-driven approaches to predict how other vehicles on the road will behave. Then you’ll construct a finite state machine to decide which of several maneuvers your own vehicle should undertake. Finally, you’ll generate a safe and comfortable trajectory to execute that maneuver.",Highway Driving,https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd013,Self Driving Car Engineer,School of Autonomous Systems,advanced
Control,"Ultimately, a self-driving car is still a car, and we need to send steering, acceleration, and brake commands to move the car through the world. Uber ATG will walk you through building a proportional-integral-derivative (PID) controller to actuate the vehicle.",PID Controller,https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd013,Self Driving Car Engineer,School of Autonomous Systems,advanced
System Integration,"This is the capstone of the entire Self-Driving Car Engineer Nanodegree Program! We’ll introduce Carla, the Udacity self-driving car, and the Robot Operating System that controls her. You’ll work to combine what you’ve learned over the course of the entire Nanodegree Program to run your code on a virtual version of Carla, a real self-driving car! NOTE: Due to the ongoing coronavirus pandemic, capstone projects will be tested in simulation only - this will not affect the graduation process or requirements.",System Integration,https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd013,Self Driving Car Engineer,School of Autonomous Systems,advanced
Introduction to SQL,"Learn how to execute core SQL commands to define, select, manipulate, control access, aggregate and join data and data tables. Understand when and how to use subqueries, several window functions, as well as partitions to complete complex tasks. Clean data, optimize SQL queries, and write select advanced JOINs to enhance analysis performance. Explain which cases you would want to use particular SQL commands, and apply the results from queries to address business problems.",Deforestation Exploration,https://www.udacity.com/course/learn-sql--nd072,SQL,School of Data Science,beginner
Management of Relational & Non-Relational Databases,"Databases need to be structured properly to enable efficient and effective querying and analysis of data. Build normalized, consistent, and performant relational data models. Use SQL Database Definition Language (DDL) to create the data schemas designed in Postgres and apply SQL Database Manipulation Language (DML) to migrate data from a denormalized schema to a normalized one. Understand the tradeoffs between relational databases and their non-relational counterparts, and justify which one is best for different scenarios. With a radical shift of paradigms, learn about MongoDB and Redis to get an understanding of the differences in behaviors and requirements for non-relational databases.","Udiddit, A Social News Aggregator",https://www.udacity.com/course/learn-sql--nd072,SQL,School of Data Science,beginner
Introduction,"Get an overview of your program. Meet your instructors, and refresh your Python skills. Learn the framework to deconstruct any open-ended problem and then understand the concepts of time and space complexity.",Unscramble computer science problems,https://www.udacity.com/course/data-structures-and-algorithms-nanodegree--nd256,Data Structures and Algorithms,School of Programming & Development,intermediate
Data Structures,Learn different data structures that can be used to store data. Implement different methods used to manipulate these data structures and examine the efficiency. Understand the advantages and applications of different data structures. Learn how to approach open ended problems (either in interview or real-world) and select appropriate data structures based on requirements.,Show me the data structures,https://www.udacity.com/course/data-structures-and-algorithms-nanodegree--nd256,Data Structures and Algorithms,School of Programming & Development,intermediate
Basic Algorithms,Learn and implement basic algorithms such as searching and sorting on different data structures and examine the efficiency of these algorithms. Use recursion to implement these algorithms and then learn how some of these algorithms can be implemented without recursion. Practice selecting and modifying these algorithms for a variety of interview problems.,Problems vs. Algorithms,https://www.udacity.com/course/data-structures-and-algorithms-nanodegree--nd256,Data Structures and Algorithms,School of Programming & Development,intermediate
Advanced Algorithms,"Build on your algorithm skills by learning more advanced algorithms such as brute-force greedy algorithms, graph algorithms, and dynamic programming  which optimizes recursion by storing results to sub problems.",Route Planner,https://www.udacity.com/course/data-structures-and-algorithms-nanodegree--nd256,Data Structures and Algorithms,School of Programming & Development,intermediate
Applying Data Science to Product Management,"As products become more digital, the amount of data collected is increasing. Product managers now have the opportunity to utilize this data to not only enhance existing products, but create completely new ones. Understand the role of data product managers within organizations and how they utilize data science, machine learning, and artificial intelligence to solve problems. Learn how to visualize your data with Tableau for statistical analysis and identify unique relationships between variables via hypothesis testing and modeling. Evaluate the output captured in statistical analyses and translate them into insights to inform product decisions.",Develop a Data-Backed Product Proposal,https://www.udacity.com/course/data-product-manager-nanodegree--nd030,Data Product Manager,School of Business,intermediate
Establishing Data Infrastructure,"Products that collect data from its users can only leverage such data if it gets processed and stored properly. Data product managers need to ensure their products have the appropriate supporting data pipelines in place so that data collected from users can be extracted, transformed, and loaded into a data lake or warehouse that can be used for statistical analysis. Learn about data infrastructure components including data pipelines, data producers, data consumers, data storage, and data processing. Master the nuances of evaluating strategic decisions for data pipeline technology, including security and compliance. Apply learnings to make step-by-step decisions for data infrastructure of an organization. Create solutions for real-world data infrastructure problems and evaluate tradeoffs.",Build a Scalable Data Strategy,https://www.udacity.com/course/data-product-manager-nanodegree--nd030,Data Product Manager,School of Business,intermediate
