product_name,school_name,full_url,cost,prog_type,difficulty,skills,description
Full Stack Web Developer,School of Programming & Development,https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd0044,paid,nanodegree,intermediate,"Python, JavaScript, PostgreSQL, Flask, Docker, Kubernetes","Learn to design and develop powerful modern web applications that form the foundation for the apps, websites, and systems that people and businesses use every day.Learn More"
Deep Learning,School of Artificial Intelligence,https://www.udacity.com/course/deep-learning-nanodegree--nd101,paid,nanodegree,intermediate,"Deep Learning, Neural Networks, Jupyter Notebooks, CNNs, GANs",Deep learning is driving advances in artificial intelligence that are changing our world. Enroll now to build and apply your own deep neural networks to produce amazing solutions to important challenges.Learn More
Self Driving Car Engineer,School of Autonomous Systems,https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd013,paid,nanodegree,advanced,"Computer Vision, Deep Learning, Sensor Fusion, Localization, Self-Driving Cars","Self-driving cars are set to revolutionize the way we live. This is transformational technology, on the cutting-edge of robotics, machine learning, software engineering, and mechanical engineering. In this program, you’ll learn the skills and techniques used by self-driving car teams at the most advanced technology companies in the world.Learn More"
C++,School of Autonomous Systems,https://www.udacity.com/course/c-plus-plus-nanodegree--nd213,paid,nanodegree,intermediate,"Data Structures & Algorithms, Memory Management, Concurrency, Object Oriented Programming, C++",Get hands-on experience by building five real-world projects.Learn More
Data Structures and Algorithms,School of Programming & Development,https://www.udacity.com/course/data-structures-and-algorithms-nanodegree--nd256,paid,nanodegree,intermediate,"Data Structures and Algorithms, Problem Solving, Interview Practice Problems, Python",Get hands-on practice with over 100 data structures and algorithm exercises and technical mentor support when needed to help prepare you for interviews and on-the-job scenarios.Learn More
Data Product Manager,School of Business,https://www.udacity.com/course/data-product-manager-nanodegree--nd030,paid,nanodegree,intermediate,"Data Science, Product Management, Product Design, Data Visualization, User Journey Maps","Hone specialized skills in Data Product Management by learning how to apply data science best practices to build data-driven products backed by scalable data strategies to deliver the right experience to the right users, at the right time.Learn More"
SQL,School of Data Science,https://www.udacity.com/course/learn-sql--nd072,paid,nanodegree,beginner,"SQL, PostgreSQL, JOINs, Subqueries, Window Functions, Partitions, Data Cleaning, DDL, DML, Relational and Non-Relational Databases","Master SQL, the core language for Big Data analysis, and enable insight-driven decision-making and strategy for your business.Learn More"
Java Developer,School of Programming & Development,https://www.udacity.com/course/java-developer-nanodegree--nd035,paid,nanodegree,intermediate,"Java, Spring Boot, Rest API, MySQL, MongoDB",Learn back-end development with the Java programming languageLearn More
Blockchain Developer,School of Programming & Development,https://www.udacity.com/course/blockchain-developer-nanodegree--nd1309,paid,nanodegree,intermediate,"Ethereum Blockchain, Blockchain Architecture, Data Auditing","Demand for blockchain developers is skyrocketing. In this program, you'll work with the Bitcoin and Ethereum protocols, build projects for real-world application, and gain the essential skills for a career in this dynamic space.Learn More"
Deep Reinforcement Learning,School of Artificial Intelligence,https://www.udacity.com/course/deep-reinforcement-learning-nanodegree--nd893,paid,nanodegree,advanced,"Reinforcement Learning, Neural Networks, PyTorch, Deep Q-Networks (DQN), Deep Deterministic Policy Gradients (DDPG)",Master the deep reinforcement learning skills that are powering amazing advances in AI. Then start applying these to applications like video games and robotics.Learn More
iOS Developer,School of Programming & Development,https://www.udacity.com/course/ios-developer-nanodegree--nd003,paid,nanodegree,intermediate,"Swift programming, Core Data, UIKit, iOS networking, app publishing, User interfaces, Local Persistence, APIs","Master the Swift programming language, and create a portfolio of iOS apps for iPhone and iPad to showcase your skills!Learn More"
Activation and Retention Strategy,School of Business,https://www.udacity.com/course/activation-and-retention-strategy--nd037-2,paid,nanodegree,intermediate,"Product Management, Activation Funnels, Retention Analysis, Churn Analysis, Segment Analysis, User Engagement, Cohort Analysis","Hone specialized Product Management skills in activation and retention strategy. Guide users through the activation funnel as fast as possible, so they reach your product’s aha-moment, and deploy experiments to improve customer lifetime value and decrease churn.Learn More"
React,School of Programming & Development,https://www.udacity.com/course/react-nanodegree--nd019,paid,nanodegree,intermediate,"React, Redux, React Native",React is completely transforming Front-End Development. Master this powerful UI library from Facebook with Udacity.Learn More
Computer Vision,School of Artificial Intelligence,https://www.udacity.com/course/computer-vision-nanodegree--nd891,paid,nanodegree,advanced,"Convolutional Neural Networks (CNN), Recurrent Neural Networks (RNN), Simultaneous Localization and Mapping (SLAM), Object Tracking, Image Classification, Deep Learning","Learn the computer vision skills behind advances in robotics and automation. Write programs to analyze images, implement feature extraction, and recognize objects using deep learning models.Learn More"
AI Product Manager,School of Artificial Intelligence,https://www.udacity.com/course/ai-product-manager-nanodegree--nd088,paid,nanodegree,beginner,"AI Products, Training ML Models, Annotating Datasets, Prototyping a Product",Learn to develop AI products that deliver business value. Build skills that help you compete in the new AI-powered world.Learn More
Robotics Software Engineer,School of Autonomous Systems,https://www.udacity.com/course/robotics-software-engineer--nd209,paid,nanodegree,advanced,"C++, ROS, Localization, Mapping, SLAM, Navigation, Path Planning, Robot Operating System, Robotics","Build five hands-on projects to acquire core robotics software engineering skills: ROS, Gazebo, Localization, Mapping, SLAM, Navigation, and Path Planning.Learn More"
Cloud DevOps Engineer,School of Cloud Computing,https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991,paid,nanodegree,intermediate,"AWS, Configuration Management with Ansible, Continuous Integration / Continuous Deployment, Microservices with Kubernetes, CloudFormation","Companies are looking for talented DevOps engineers to remain competitive in this agile world. Enroll now to operationalize infrastructure at scale and deliver applications and services at high velocity, an essential skill for advancing your career.Learn More"
Data Streaming,School of Data Science,https://www.udacity.com/course/data-streaming-nanodegree--nd029,paid,nanodegree,advanced,"Data Streaming, Spark, Kafka, Kafka Streaming, Spark Streaming",Learn how to stream data to unlock key insights in real-time.Learn More
Sensor Fusion Engineer,School of Autonomous Systems,https://www.udacity.com/course/sensor-fusion-engineer-nanodegree--nd313,paid,nanodegree,advanced,"Perception, Lidar, Radar, Sensors, Computer Vision","Learn to fuse lidar point clouds, radar signatures, and camera images using Kalman Filters to perceive the environment and detect and track vehicles and pedestrians over time.Learn More"
Cloud Developer,School of Cloud Computing,https://www.udacity.com/course/cloud-developer-nanodegree--nd9990,paid,nanodegree,intermediate,"AWS, Microservices, Serverless Architecture, Kubernetes","Cloud development is the foundation for the new world of software development. Enroll now to build and deploy production-ready full stack apps at scale on AWS, an essential skill for advancing your web development career.Learn More"
Monetization Strategy,School of Business,https://www.udacity.com/course/monetization-strategy--nd037-3,paid,nanodegree,intermediate,"Product Management, Monetization Models, Pricing Strategy, Buyer Personas, Lifetime Value, Customer Acquisition Cost, Pricing Metrics, Growth Strategy","Monetization Strategy is the third of three courses in the Growth Product Manager Nanodegree program. Hone specialized Product Management skills in monetization strategy by learning how to implement strategies to drive profitable growth for your business. Build and test pricing plans and market selection, target the right buyer personas, and be equipped to harness their full lifetime value.Learn More"
Intro to Self-Driving Cars,School of Autonomous Systems,https://www.udacity.com/course/intro-to-self-driving-cars--nd113,paid,nanodegree,intermediate,"Computer Vision, Machine Learning, Vehicle Motion, Control",This introductory program is the perfect way to start your journey.Learn More
Intro to Machine Learning with PyTorch,School of Artificial Intelligence,https://www.udacity.com/course/intro-to-machine-learning-nanodegree--nd229,paid,nanodegree,intermediate,"Introduction to Machine Learning, Supervised Learning, Deep Learning, Unsupervised Learning","Build a solid foundation in Supervised, Unsupervised, and Deep Learning. Then, use these skills to test and deploy machine learning models in a production environment.Learn More"
Artificial Intelligence,School of Artificial Intelligence,https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898,paid,nanodegree,advanced,"AI Algorithms, Search Algorithms, Optimization, Planning, Pattern Recognition","Learn essential Artificial Intelligence concepts from AI experts like Peter Norvig and Sebastian Thrun, including search, optimization, planning, pattern recognition, and more.Learn More"
Artificial Intelligence,School of Artificial Intelligence,https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898,paid,course,intermediate,"Artificial Intelligence, Probability, Bayesian Networks, Logic and Planning, Machine Learning","This course gives a survey of topics in AI along with in-depth foundational concepts such as classical search, probability, machine learning, logic and planning.Learn More"
AWS Cloud Architect,School of Cloud Computing,https://www.udacity.com/course/aws-cloud-architect-nanodegree--nd063,paid,nanodegree,advanced,"Cloud Infrastructure, Cloud Security, AWS, CloudFormation, High Availability Infrastructure, Serverless Computing","Lead your organization's cloud computing strategy as an AWS Cloud Architect. Plan, design, and build secure, high availability cloud infrastructure.Learn More"
Marketing Analytics,School of Business,https://www.udacity.com/course/marketing-analytics-nanodegree--nd028,paid,nanodegree,beginner,"Google Analytics, Excel & Spreadsheets, Data Visualization, Customer Segmentation","Gain foundational data skills applicable to marketing. Collect and analyze data, model marketing scenarios, and communicate your findings with Excel, Tableau, Google Analytics, and Data Studios.Learn More"
Intro to Machine Learning with TensorFlow,School of Artificial Intelligence,https://www.udacity.com/course/intro-to-machine-learning-with-tensorflow-nanodegree--nd230,paid,nanodegree,intermediate,"TensorFlow, Deep Learning, scikit-learn, Supervised Learning, Unsupervised Learning","Build a solid foundation in Supervised, Unsupervised, and Deep Learning. Then, use these skills to test and deploy machine learning models in a production environment.Learn More"
Intermediate JavaScript,School of Programming & Development,https://www.udacity.com/course/intermediate-javascript-nanodegree--nd032,paid,nanodegree,intermediate,"Functional Programming, DOM, Data Structures, Asynchronous Programming, Synchronous Programming","Master JavaScript, the most popular programming language in the world. Be equipped for advanced roles in web development, server-side application development, and desktop development.Learn More"
Agile Software Development,School of Business,https://www.udacity.com/course/agile-software-development-nanodegree--nd144,paid,nanodegree,beginner,"Agile, Scrum, Kanban, XP, Minimum Viable Product","The Agile Software Development Nanodegree program equips you with the skills you need to guide the delivery of high value products with top notch software development teams.
Learn More"
Predictive Analytics For Business,School of Business,https://www.udacity.com/course/predictive-analytics-for-business-nanodegree--nd008,paid,nanodegree,beginner,"Data Wrangling, Classification, A/B Testing, Forecasting, Segmentation","Predictive analytics is the practice of determining patterns from data to predict future outcomes and trends. Across industries, it enables high-value solutions to important business problems.Learn More"
Natural Language Processing,School of Artificial Intelligence,https://www.udacity.com/course/natural-language-processing-nanodegree--nd892,paid,nanodegree,advanced,"Machine Learning, Speech Recognition, Sentiment Analysis, Machine Translation, Part of Speech Tagging","Learn the skills to get computers to understand, process, and respond to human language. Build models on real data, and get hands-on experience with sentiment analysis, machine translation, and more.Learn More"
Cloud DevOps using Microsoft Azure,School of Cloud Computing,https://www.udacity.com/course/cloud-devops-using-microsoft-azure-nanodegree--nd082,paid,nanodegree,intermediate,"Infrastructure as Code,  Configuration Management,  Agile Planning,  Continuous Integration,  Continuous Delivery,  Test Automation,  Monitoring","Learn how to deploy, test, and monitor cloud applications on Azure, one of the most popular cloud services platforms used by businesses across the globe.Learn More"
AI for Healthcare,School of Artificial Intelligence,https://www.udacity.com/course/ai-for-healthcare-nanodegree--nd320,paid,nanodegree,advanced,"Artificial Intelligence, 2D Medical Imaging, 3D Medical Imaging, Electronic Health Record Data, Deep Learning, Wearable Device Data, Supervised Learning","Be at the forefront of the revolution of AI in Healthcare, and transform patient outcomes. Enable enhanced medical decision-making powered by machine learning to build the treatments of the future.Learn More"
Introduction to Cybersecurity,School of Programming & Development,https://www.udacity.com/course/intro-to-cybersecurity-nanodegree--nd545,paid,nanodegree,beginner,"Threat Assessment, Security Vulnerabilities, Compliance, Governance, Risk, Incident Response","Get your start in the high growth field of Cybersecurity by building foundational skills in how to evaluate, maintain, and monitor the security of computer systems.Learn More"
Android Basics,School of Programming & Development,https://www.udacity.com/course/android-basics-nanodegree-by-google--nd803,paid,nanodegree,beginner,"Android Development, Java programming, Android Studio, XML layouts, Android Views",No programming experience? No Problem! Start developing Android apps today.Learn More
Data Visualization,School of Data Science,https://www.udacity.com/course/data-visualization-nanodegree--nd197,paid,nanodegree,beginner,"Data Visualization, Tableau, Dashboards, Data Storytelling","Combine data, visuals, and narrative to tell impactful stories and make data-driven decisions.Learn More"
AI for Business Leaders,School of Business,https://www.udacity.com/course/ai-for-business-leaders--nd054,paid,nanodegree,intermediate,"Artificial Intelligence, Machine Learning, Business Strategy, Data Labeling, Data Modeling","Master the foundations of artificial intelligence so you can strategically implement machine learning technology in your organization, and leverage it for corporate growth.Learn More"
Flying Car and Autonomous Flight Engineer,School of Autonomous Systems,https://www.udacity.com/course/flying-car-nanodegree--nd787,paid,nanodegree,advanced,"3D Motion Planning, Controls, Estimation, Kalman Filters","Master job-ready autonomous flight software engineering skills as you tackle advanced challenges, write real code for real aircraft, and develop a systems understanding of the Flying Car full-stack.Learn More"
Data Science for Business Leaders,School of Business,https://www.udacity.com/course/data-science-for-business-leaders--nd045,paid,nanodegree,intermediate,"Business Strategy, Data Science, Data Architecture, Machine Learning, Human Capital","Master the people, platforms, and processes required to leverage the power of Data Science in your business.Learn More"
Programming for Data Science with R,School of Data Science,https://www.udacity.com/course/programming-for-data-science-nanodegree-with-R--nd118,paid,nanodegree,beginner,"R, SQL, Git","Prepare for a data science career by learning the fundamental data programming tools: R, SQL, command line, and git.Learn More"
Intel® Edge AI for IoT Developers,School of Artificial Intelligence,https://www.udacity.com/course/intel-edge-ai-for-iot-developers-nanodegree--nd131,paid,nanodegree,advanced,"Edge AI, Computer Vision, Deep Learning, Edge Computing, AI Modeling, Deep Neural Networks (DNN), Convolutional Neural Networks (CNN), IoT, Intel® Distribution of OpenVINO™ Toolkit, Intel® DevCloud for the Edge",Lead the development of cutting-edge Edge AI applications that are the future of the Internet of Things. Leverage the Intel® Distribution of OpenVINO™ Toolkit to fast-track development of high-performance computer vision and deep learning inference applications.Learn More
Growth Product Manager,School of Business,https://www.udacity.com/course/growth-product-manager-nanodegree--nd037,paid,nanodegree,intermediate,"Product Management, Growth Strategy, Customer Acquisition, Activation Strategy, Monetization Strategy, Performance Optimization","Hone specialized Product Management skills in growth strategy. Lead experimentation and data-driven decision-making in your organization to drive products to reach the next level of scale, impact, and profitability.Learn More"
Security Engineer,School of Programming & Development,https://www.udacity.com/course/security-engineer-nanodegree--nd698,paid,nanodegree,intermediate,"Cryptography, Risk Evaluation, Authentication, Authorization, Access
Management, Penetration Testing",Take advantage of the growing need for skilled security professionals by mastering the sought-after skills to protect an organization’s computer networks and systems from security threats or attacks.Learn More
Security Analyst,School of Programming & Development,https://www.udacity.com/course/security-analyst-nanodegree--nd324,paid,nanodegree,intermediate,"Security controls,  Defensible Network Architecture,  security threat mitigation,  threat modeling,  vulnerability assessment,  incident detection and handling","The Security Analyst Nanodegree program was designed to help students take advantage of the growing need for skilled information security analysts. Students will learn to identify, correct and respond to security weaknesses and incidents and get hands-on experience monitoring network traffic, analyzing alert and log data, and following incident handling procedures.Learn More"
Java Programming,School of Programming & Development,https://www.udacity.com/course/java-programming-nanodegree--nd079,paid,nanodegree,beginner,"Object-oriented programming,  functional programming,  I/O,  reflection,  concurrent programming,  Java modules","This Nanodegree program is intended to elevate your Java abilities and teach you the fundamental skills used by Java developers to design, code, test and deploy cutting-edge Java software. It is ideal for programming beginners with little or no Java experience who want to set themselves up for success as a professional Java developer and deploy functional Java-based applications of their own creation.Learn More"
Intermediate Python,School of Programming & Development,https://www.udacity.com/course/intermediate-python-nanodegree--nd303,paid,nanodegree,intermediate,"Python, Object-oriented programming, Modular code, Python Package Index","The Intermediate Python Nanodegree program teaches intermediate-level skills for programming with the Python language.  It is ideal for developers interested in using Python to build more complex algorithms with greater capabilities in preparation for a variety of different roles spanning fields like data science, AI, and software engineering.Learn More"
Android Kotlin Developer,School of Programming & Development,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,paid,nanodegree,intermediate,"Android Development, Kotlin, Android Studio, Gradle, RESTful interfaces, Web APIs, App Architecture, Databases, Custom Views, Notifications, Location Services, Testing, Firebase","Master Android app development with Kotlin, a modern programming language that enables developers to be more productive.Learn More"
RPA Developer with UiPath,School of Programming & Development,https://www.udacity.com/course/rpa-developer-nanodegree--nd340,paid,nanodegree,beginner,"Process Automation, Business Operations, UiPath Studio, UiPath Orchestator",Build the operational processes that enable the businesses of the future.Learn More
Data Architect,School of Data Science,https://www.udacity.com/course/data-architect-nanodegree--nd038,paid,nanodegree,advanced,"Entity relationship diagrams,  Relational Data Design,  Online Analytical Processing,  Operational Data Stores,  Data Lake Architecture,  Data Governance","Learn how to plan, design and implement enterprise data infrastructure solutions and create the blueprints for your organization’s data success.Learn More"
Hybrid Cloud Engineer,School of Cloud Computing,https://www.udacity.com/course/hybrid-cloud-engineer-nanodegree--nd321,paid,nanodegree,intermediate,"Hyper-converged infrastructure,  Hybrid Cloud,  Public Cloud,  Private Cloud,  HCI Clusters,  Workload Management,  On premise,  Off premise","This Nanodegree program, built in collaboration with experts from Nutanix, a leader in the cutting edge field of hyperconverged infrastructure software, takes cloud technology and data-center professionals on an in-depth journey into the design, deployment, and management of infrastructure and applications together on the Hybrid Cloud. Master the concepts you need to transform how your IT teams manage applications and support the business.Learn More"
Cloud Developer using Microsoft Azure,School of Cloud Computing,https://www.udacity.com/course/cloud-developer-using-microsoft-azure-nanodegree--nd081,paid,nanodegree,intermediate,"Virtual Machines,  App Services,  Microservices,  Serverless Functions,  Cloud Migration","The Cloud Developer using Microsoft Azure program prepares students with critical cloud computing skills in how to deploy, build, migrate, and monitor applications on Azure.Learn More"
Machine Learning Engineer for Microsoft Azure,School of Artificial Intelligence,https://www.udacity.com/course/machine-learning-engineer-for-microsoft-azure-nanodegree--nd00333,paid,nanodegree,intermediate,"Azure Machine Learning, Azure Machine Learning SDK, Automation with Pipelines, Automated ML, Machine Learning Operations","Strengthen your machine learning skills and build practical experience by training, validating, and evaluating models using Azure Machine Learning. Learn More"
Microsoft Power Platform,School of Programming & Development,https://www.udacity.com/course/microsoft-power-platform--ud091,free,course,beginner,"Microsoft Power Platform, Power Apps, Power Automate, Azure AI Builder","Learn to build powerful and effective solutions with ease with Microsoft Power Platform. Created in partnership with the Microsoft Power Platform team, this course will introduce you to efficient low-code solutions for data analytics, app development, and artifical intelligence.Learn More"
Web Tooling & Automation,School of Programming & Development,https://www.udacity.com/course/web-tooling-automation--ud892,free,course,intermediate,"Installing Sublime Text, Installing Plugins, Gulp, Live Editing, ESLint","In this course, you’ll learn how to setup your development environment and save a lot of time and effort with automatic optimization.Learn More"
Front End Frameworks,School of Programming & Development,https://www.udacity.com/course/front-end-frameworks--ud894,free,course,advanced,"Single Page Applications, Building Angular apps, Building Ember apps, Underscore's template function, Backbone events and routing","Explore and build interactive, single-page applications with popular JavaScript frameworks!Learn More"
Responsive Web Design Fundamentals,School of Programming & Development,https://www.udacity.com/course/responsive-web-design-fundamentals--ud893,free,course,intermediate,"Responsive design patterns, Remote debugging and emulation, Optimizing layout, CSS media queries, CSS flexbox",Learn and practice strategies for developing websites that look great on every device! Made with Google's Pete LePage.Learn More
Linux Command Line Basics,School of Programming & Development,https://www.udacity.com/course/linux-command-line-basics--ud595,free,course,beginner,"Command line interface (Linux server), Terminal and Shell (GNU Bash), Linux filesystem, Shell commands",An introduction to the Linux command line interface.Learn More
How to Install Android Studio,School of Programming & Development,https://www.udacity.com/course/how-to-install-android-studio--ud808,free,course,beginner,"Android, Android Studio, Java",Participate in this short tutorial to install Android Studio on your computer and set up a new project using the program's Project Wizard.Learn More
Android Basics: Multiscreen Apps,School of Programming & Development,https://www.udacity.com/course/android-basics-multiscreen-apps--ud839,free,course,beginner,"Android Development, Intents and Activities, Data, Loops and Custom Classes, Images and Visual Polish, Audio and Libraries","Learn to build multiple screens and link them together, expanding the range of apps you can create! You'll also learn how to play audio and add images to your apps.Learn More"
Website Performance Optimization,School of Programming & Development,https://www.udacity.com/course/website-performance-optimization--ud884,free,course,intermediate,"Chrome Developer Tools, DOM and CSSOM, Critical Rendering Path HTML, CSS and JavaScript optimizations","Learn how browsers convert HTML, CSS and JavaScript into websites while you experiment with Chrome Developer Tools to measure and optimize website speed!Learn More"
iOS Networking with Swift,School of Programming & Development,https://www.udacity.com/course/ios-networking-with-swift--ud421,free,course,advanced,"Networking, URLSession, JSON Parsing",Learn how to incorporate networking into your apps to access data from around the world. Build the On the Map app to share location and fun links with fellow students.Learn More
JavaScript Design Patterns,School of Programming & Development,https://www.udacity.com/course/javascript-design-patterns--ud989,free,course,advanced,"Separating concerns, Code organization, Using an Organizational Library, KnockoutJS",Learn the importance of code organization and how to implement it with either vanilla JavaScript or an organizational library or framework.Learn More
Android Basics: User Input,School of Programming & Development,https://www.udacity.com/course/android-basics-user-input--ud836,free,course,beginner,"Android Development, Java, Object Oriented Programming, Conditional Code, Methods, Variables",Learn how to make your apps interactive using buttons and text! In this course you'll learn the basics of the Java programming language and how to apply them to Android.Learn More
Android Performance,School of Programming & Development,https://www.udacity.com/course/android-performance--ud825,free,course,advanced,"Android Development, Performance, Optimization","Performance matters to users, so it must matter to you. Learn how to identify and fix bottlenecks in your Android applications, and ensure a smooth user experience.Learn More"
Responsive Images,School of Programming & Development,https://www.udacity.com/course/responsive-images--ud882,free,course,intermediate,"Responsive Images, Mobile Image debugging, Creating responsive graphics",Go beyond image tags! Learn how to make images a part of your responsive design workflow.Learn More
Xcode Debugging,School of Programming & Development,https://www.udacity.com/course/xcode-debugging--ud774,free,course,advanced,"Debugging, LLDB","In this course, you'll learn standard methodologies for debugging software, and how to use Xcode's debugging tools to find and squash bugs.Learn More"
Gradle for Android and Java,School of Programming & Development,https://www.udacity.com/course/gradle-for-android-and-java--ud867,free,course,advanced,"Android Development, Gradle, Java",Build bigger and better Android and Java apps using the Gradle build tool.Learn More
Build Native Mobile Apps with Flutter,School of Programming & Development,https://www.udacity.com/course/build-native-mobile-apps-with-flutter--ud905,free,course,intermediate,Android Development,Learn from experts at Google how to use Flutter to craft high-quality native interfaces on iOS and Android devices in record time.Learn More
JavaScript Promises,School of Programming & Development,https://www.udacity.com/course/javascript-promises--ud898,free,course,advanced,"Native JavaScript Promises, Asynchronous code, Advanced error handling, Generating sequences of async work",Learn how to simplify asynchronous work with Native JavaScript Promises!Learn More
UIKit Fundamentals,School of Programming & Development,https://www.udacity.com/course/uikit-fundamentals--ud788,free,course,intermediate,"AutoLayout, Navigation, Table Views, Collection Views","Learn the iOS UIKit framework, which is the cornerstone of creating user interfaces in all iOS apps and crucial for any iOS Developer to be intimately familiar with.Learn More"
Android Basics: User Interface,School of Programming & Development,https://www.udacity.com/course/android-basics-user-interface--ud834,free,course,beginner,"Android Development, Building Layouts, Android Studio, Views and ViewGroups, Styling",Learn how to design your first layout in Android! This is the first course in the Android Basics Nanodegree program.Learn More
Client-Server Communication,School of Programming & Development,https://www.udacity.com/course/client-server-communication--ud897,free,course,advanced,"HTTP request and response cycle, HTTP headers and verbs, HTTP/1 and HTTP/2 capabilities, HTTPS, Client-Server Communication","Learn how a client communicates with a server, including HTTP's request and response cycle, HTTP/2 and HTTPs.Learn More"
What is Programming?,School of Programming & Development,https://www.udacity.com/course/what-is-programming--ud994,free,course,beginner,"",This course is your first step towards a career in programming.Learn More
Building High Conversion Web Forms,School of Programming & Development,https://www.udacity.com/course/building-high-conversion-web-forms--ud890,free,course,intermediate,"Research HTML5 input types, Datalist input, User input validation with HTML5 attributes, Validate user input using JavaScript, Optimizing forms","Increase conversions with best practices for fast, efficient forms! Learn how to design and build web forms for users on any device.Learn More"
Advanced Android App Development,School of Programming & Development,https://www.udacity.com/course/advanced-android-app-development--ud855,free,course,advanced,"Android Development, Fragments, Libraries, Firebase, Espresso","Make your app production-ready by applying advanced features like library integration, material design, widgets, receiving cloud messages, and more!Learn More"
Software Architecture & Design,School of Programming & Development,https://www.udacity.com/course/software-architecture-design--ud821,free,course,intermediate,"Unified Modeling Language, Object Constraint Language, Software Architecture, Software Design, Code Review",Software Architecture and Design teaches the principles and concepts involved in the analysis and design of large software systems.Learn More
Intro to Information Security,School of Programming & Development,https://www.udacity.com/course/intro-to-information-security--ud459,free,course,intermediate,"Software Security, Cryptography, Network Security, Privacy, Public Policy",Learn More
Authentication & Authorization: OAuth,School of Programming & Development,https://www.udacity.com/course/authentication-authorization-oauth--ud330,free,course,intermediate,"Flask, OAuth 2.0, Authentication & Authorization, Python",Learn to implement the OAuth 2.0 framework to allow users to securely and easily login to your web applications.Learn More
